N;CODIGO UNIFICADO;REGION;NOMBRE DEL PROYECTO;UNIDAD EJECUTORA;COSTO DEL PROYECTO;BENEFICIARIOS;NÚMERO DE PUESTOS DE TRABAJO GENERADOS;;;
1;2343153;AMAZONAS;CREACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO DE LAS LOCALIDADES DE CHONTAPAMPA, MARYPAMAPA, CUCHAPAMPA Y PALACHE, DISTRITO DE QUINJALCA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE QUINJALCA;7,772,907.74;1,371;87;;;
2;2271356;AMAZONAS;MEJORAMIENTO, AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE , ALCANTARILLADO DE LA LOCALIDAD DE SAN BARTOLO, DISTRITO DE SANTO TOMAS - LUYA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE SANTO TOMAS;3,154,644.76;368;71;;;
3;2303043;AMAZONAS;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO DE LOS CASERIOS BUENOS AIRES Y PORVENIR, DISTRITO DE CUMBA - UTCUBAMBA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE CUMBA;2,974,326.79;450;49;;;
4;2290235;AMAZONAS;MEJORAMIENTO DE LA CAPTACION Y LINEA DE CONDUCCION DEL AGUA POTABLE DE LA LOCALIDAD DE TRITA, DISTRITO DE TRITA - LUYA - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE LUYA - LAMUD;2,953,699.60;1,062;57;;;
5;2235656;AMAZONAS;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO HEBRON, DISTRITO DE NIEVA, PROVINCIA DE CONDORCANQUI - AMAZONAS;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;1,990,482.99;248;31;;;
6;2266065;AMAZONAS;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO SELVA VERDE, DISTRITO DE ARAMANGO - BAGUA - AMAZONAS;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;1,591,537.53;117;35;;;
7;2254001;AMAZONAS;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO DUELAC, DISTRITO DE JAMALCA- UTCUBAMBA- AMAZONAS;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,232,366.11;214;44;;;
8;2286781;AMAZONAS;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO EL TRIUNFO, DISTRITO DE LA PECA- BAGUA-AMAZONAS;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,512,458.69;275;50;;;
9;2200393;AMAZONAS;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO PERLA DEL IMAZA , DISTRITO DE YAMBRASBAMBA - BONGARA - AMAZONAS;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,559,045.31;345;42;;;
10;2235897;AMAZONAS;INSTALACION DE LOS SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIAS DE EXCRETAS Y DE AGUAS GRISES EN LA COMUNIDAD DE NATIVA DE UUT, DISTRITO DE IMAZA, PROVINCIA DE BAGUA, DEPARTAMENTO DE AMAZONAS;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;4,170,965;408;66;;;
11;2235419;AMAZONAS;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DE LA DISPOSICIÓN SANITARIA DE EXCRETAS Y DE AGUAS GRISES EN LA COMUNIDAD NATIVA DE WAWAIM, DISTRITO DE IMAZA, PROVINCIA DE BAGUA, DEPARTAMENTO DE AMAZONAS;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;4,725,585;398;89;;;
12;2427596;AMAZONAS;"ADQUISICIÓN DE LÍNEA DE ADUCCIÓN; EN EL(LA) EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE BAGUA DISTRITO DE BAGUA, PROVINCIA BAGUA, DEPARTAMENTO AMAZONAS";EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE BAGUA S.A.;201608.61;27,102;10;;;
13;2427595;AMAZONAS;"ADQUISICIÓN DE BOMBAS DOSIFICADORAS; EN EL(LA) EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE BAGUA DISTRITO DE BAGUA, PROVINCIA BAGUA, DEPARTAMENTO AMAZONAS";EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE BAGUA S.A.;460107.01;27,102;5;;;
14;2427543;AMAZONAS;"ADQUISICIÓN DE MACROMEDIDORES; EN EL(LA) EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE BAGUA DISTRITO DE BAGUA, PROVINCIA BAGUA, DEPARTAMENTO AMAZONAS";EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE BAGUA S.A.;154834.66;27,102;5;;;
